seed,x,z,latitude,temperatureC,rainfallMm,evaporationMm,moistureIndex,rainShadow,windX,windZ,marineClass
8675309,24576,-20480,-18.432000000000002,16.933253078105583,584.0386927279461,864.7880127292999,0.40283344935610915,0.416693399962563,-0.9686005659835669,-0.24862208988003043,LAND
8675309,28672,-20480,-18.432000000000002,17.330704812114288,900.4970473567689,840.8368404480048,0.5168338018675261,0.2608921443081659,-0.9724906713317154,-0.23294182572648794,LAND
8675309,32768,-20480,-18.432000000000002,18.272227608953273,1230.8821308975746,848.9000969611589,0.5915477912189956,0.17593449888470372,-0.9741509293789773,-0.22589813365779454,MAJOR_OCEAN
8675309,-32768,-16384,-14.745600000000001,19.16783747504943,1469.7247637952307,865.0210745508898,0.6292314598903036,0.19022678523109518,-0.9684621939723104,-0.24916054833448065,MAJOR_OCEAN
8675309,-28672,-16384,-14.745600000000001,18.87892248721555,1135.4903560249456,859.82060476988,0.5687943303045601,0.0,-0.9694512860494289,-0.2452839252317778,MAJOR_OCEAN
8675309,-24576,-16384,-14.745600000000001,19.142019563485608,1208.2942203213013,864.5563521427409,0.5826332120378704,0.04968959709988401,-0.9731249922273628,-0.23027754884594187,MAJOR_OCEAN
8675309,-20480,-16384,-14.745600000000001,18.938093331575068,1487.1479295937763,860.8856799683513,0.633089251486269,0.10945432174652514,-0.975984034525032,-0.2178420628626185,MAJOR_OCEAN
8675309,-16384,-16384,-14.745600000000001,19.005156563546986,1501.149243801353,862.0928181438458,0.6349388956248713,0.2565632892871853,-0.9755970354293021,-0.21956872377813055,MAJOR_OCEAN
8675309,-12288,-16384,-14.745600000000001,19.126000665891173,1142.7295622829483,864.2680119860411,0.5690891149103895,0.0,-0.972276045500098,-0.23383603517569998,MAJOR_OCEAN
8675309,-8192,-16384,-14.745600000000001,19.125562642309017,1400.7913565022202,864.2601275615623,0.6181639589185928,0.07086342877775548,-0.9689144935959244,-0.2473958449524836,MAJOR_OCEAN
8675309,-4096,-16384,-14.745600000000001,18.841877565919475,1314.757246665456,859.1537961865506,0.6045108148153899,0.10440904350413245,-0.9687792699017814,-0.24792483983774455,MAJOR_OCEAN
8675309,0,-16384,-14.745600000000001,19.059011872423206,1142.4992463033984,863.0622137036178,0.569381635735894,0.0,-0.97200795719727,-0.23494793283872528,MAJOR_OCEAN
8675309,4096,-16384,-14.745600000000001,18.88686875657487,1166.9734758505635,859.9636376183477,0.5754485521764447,0.0,-0.9754450791150563,-0.22024281516140665,MAJOR_OCEAN
8675309,8192,-16384,-14.745600000000001,18.88014021202306,1470.2939601108985,859.8425238164151,0.6307198099503226,0.06965205335176078,-0.9760722765509938,-0.21744634038898042,MAJOR_OCEAN
8675309,12288,-16384,-14.745600000000001,18.838570820114565,1496.8384011765768,859.0942747620622,0.6350789805994211,0.10055962496348105,-0.9733830796694452,-0.2291841622216217,MAJOR_OCEAN
8675309,16384,-16384,-14.745600000000001,19.176164434417824,1501.1931047785854,865.1709598195208,0.6341200862290838,0.17005500266346682,-0.969648348942458,-0.24450374106169662,MAJOR_OCEAN
8675309,20480,-16384,-14.745600000000001,18.840155742861725,1268.6903787565718,859.122803371511,0.5959613503935167,0.0,-0.9684011743635361,-0.24939760522371512,MAJOR_OCEAN
8675309,24576,-16384,-14.745600000000001,19.064768663977553,1441.302664250613,863.1658359515959,0.62516692989915,0.05828959815568558,-0.9709049447401543,-0.23946521308765906,MAJOR_OCEAN
8675309,28672,-16384,-14.745600000000001,18.851723136996693,1309.3580808933343,859.3310164659405,0.603477282753069,0.11018492953425232,-0.9746635139110629,-0.2236761825732443,MAJOR_OCEAN
8675309,32768,-16384,-14.745600000000001,18.851191915543332,1326.2867120679052,859.32145447978,0.6065497844371021,0.11595836669929503,-0.9762635720485152,-0.21658586724685777,MAJOR_OCEAN
8675309,-32768,-12288,-11.0592,20.03946532275119,1298.0034023054923,880.7103758095215,0.5954925895949457,0.34647963840416185,-0.9686246801233379,-0.24852812528154886,MAJOR_OCEAN
8675309,-28672,-12288,-11.0592,18.89817954284447,471.66853575611424,876.1680121774289,0.3496854652097945,0.3369620111941724,-0.9696115667743611,-0.2446495648419771,LAND
8675309,-24576,-12288,-11.0592,19.297194545724444,744.3848628674147,894.4524655679702,0.45393823518925097,0.3700164862157166,-0.9732765930167907,-0.2296359586075934,LAND
8675309,-20480,-12288,-11.0592,19.066939938967515,1108.618122536107,872.0890727313629,0.5594257946802668,0.4633068615485733,-0.9761282779640315,-0.21719480877538128,LAND
8675309,-16384,-12288,-11.0592,19.914529019066805,1320.29735432172,878.4615223432024,0.6002009439886596,0.2355842486367126,-0.9757423090123687,-0.21892223825644375,MAJOR_OCEAN
8675309,-12288,-12288,-11.0592,19.17369412463011,475.13068592654236,877.2674664667489,0.3510649730726628,0.30492631003506687,-0.972429724663374,-0.23319612044610571,LAND
8675309,-8192,-12288,-11.0592,18.53782939096255,721.1091031559567,888.608578428815,0.44769428646642995,0.4603041765432238,-0.9690759777222308,-0.24676253646309965,LAND
8675309,-4096,-12288,-11.0592,19.028728631259177,1066.0979478317688,877.8388237931476,0.5481401572458764,0.49377454944156535,-0.968941054737526,-0.24729179615209762,LAND
8675309,0,-12288,-11.0592,19.74016216882519,1312.285418305511,875.3229190388533,0.5995981080369205,0.23259156219278057,-0.9721622832537026,-0.2343085466195113,MAJOR_OCEAN
8675309,4096,-12288,-11.0592,19.169903995243146,558.215999412085,875.4424111680689,0.3890933167752113,0.28504279715796027,-0.9755907541285413,-0.21959663125581855,LAND
8675309,8192,-12288,-11.0592,18.815698371518202,779.5427584370426,885.1984596490595,0.46798551297945257,0.4081709656834911,-0.9762162835156079,-0.2167989109727592,LAND
8675309,12288,-12288,-11.0592,21.224819842458647,1180.6179987518333,902.0467571642557,0.5666065020295317,0.17650975263678656,-0.973534039403286,-0.2285420620435573,COASTAL_WATER
8675309,16384,-12288,-11.0592,20.00422055911954,1210.774756043531,880.0759700641518,0.5788055241859564,0.22690436593884225,-0.9698081839512657,-0.24386899421851085,MAJOR_OCEAN
8675309,20480,-12288,-11.0592,19.09240866624277,488.00660689244916,869.2533021225441,0.3592880888653706,0.28936181059967814,-0.9685637948729019,-0.24876530156234256,LAND
8675309,24576,-12288,-11.0592,18.83984213404949,760.3973225735059,890.3698722401326,0.4603538107313592,0.41323747755522905,-0.971061886396093,-0.23882799833533178,LAND
